algorithm,condition,baseline_mbps,condition_mbps,impact_percent
cubic,latency,48966.40998582015,579.89153160648,-98.81573606932915
bbr,latency,47487.06783007106,258.9147120588607,-99.45476795285536
reno,loss_0.5%,48123.75855605593,24181.428482517047,-49.75157966028396
