algorithm,mean,std,count
bbr,47487.06783007106,566.9479317804717,3
cubic,48966.40998582015,120.94941105557879,2
illinois,48905.51695096228,677.3014183304659,3
reno,48123.75855605593,759.2011193666575,3
vegas,47696.235964190295,274.42398207495995,3
westwood,48161.57352269634,977.1057395720771,3
