scenario,mean,std,count,retransmits_mean
bandwidth10mbps,10.278312943909986,0.08604314118948056,3,0.0
baseline,48464.3856664279,992.0426920606556,3,76.33333333333333
latency50ms,583.2863756295029,3.8875688296489623,3,15.333333333333334
loss0.5,21147.128976515556,1818.9328634370925,3,91269.0
streams4,48137.71333541168,943.5157509461226,3,0.6666666666666666
window256k,47021.55854169157,32.424209948568425,3,0.3333333333333333
